K,iter,CV_SUB,CV_CUBIC,MLE,SRP
10,0,0.2023543546664555,0.23226639731085616,0.7451969793565296,0.23863843259679188
20,0,0.09575187350532019,0.11155857811979636,0.3191144704686879,0.11322428866965265
30,0,0.05768203398263544,0.060584368242709546,0.42700545490879066,0.0836037739077525
40,0,0.046501758567869846,0.050135247086572646,0.1875175667165455,0.05986827715781702
50,0,0.03880812083246661,0.040275430459326966,0.0912621349758714,0.04563575858165035
60,0,0.03014110333148716,0.031656952053584125,0.09619510571992923,0.038378453507284783
70,0,0.029723521366159012,0.03049230429966264,0.0423311001222473,0.03695201757692556
80,0,0.02157340960534928,0.022309458748399607,0.0688023581862084,0.028917702517851585
90,0,0.020140698889238137,0.020471979288795673,0.051437317723779095,0.02488887324436274
100,0,0.018293763399101548,0.018743511364085887,0.04969984308346043,0.023976197616509667
110,0,0.016238884873035903,0.016709565755260537,0.04100217257684774,0.022585538735623793
120,0,0.015264882329614081,0.015602642932732124,0.021140591851574304,0.018304715689934623
130,0,0.014693410949545512,0.014930660092631581,0.019553546928127878,0.017679855030578354
140,0,0.013338662379094432,0.013633597030429843,0.01899751018169381,0.017061573424415034
150,0,0.01243743447944567,0.012620919678308246,0.016096902040928764,0.015523071539751061
160,0,0.011640423390503585,0.011806500994194735,0.013002791098433698,0.01436952270414443
170,0,0.010951928996832786,0.011117708584578872,0.012971817063834441,0.013646462526973534
180,0,0.01081592663346166,0.010941627246375842,0.011524080881430558,0.012873056045895542
190,0,0.010044213917523514,0.010149995395308895,0.010917476979365844,0.012260777923405866
200,0,0.009580342652265627,0.00960683677897665,0.009917058012758289,0.011149206647882985
210,0,0.009124421194214406,0.009232607370242719,0.009234004927485953,0.01104321255651808
220,0,0.009341503545545585,0.009347493773876605,0.00934749650797923,0.013124222345011495
230,0,0.00798515394958336,0.008084503554298485,0.008915218412741623,0.01015086790086295
240,0,0.008356156777189759,0.008394447132516561,0.008400113891006296,0.010553101097661739
250,0,0.007355334715393522,0.007446592177483782,0.007447352876407726,0.00952746022100138
260,0,0.007236953504773126,0.00728841774108877,0.007557649916383516,0.008851274507519389
270,0,0.007020795950142227,0.007078284084135224,0.007204532060687305,0.008961057155679955
280,0,0.0070101509257207255,0.007119056212907104,0.007121973056280143,0.008362995370213077
290,0,0.006653308226850864,0.006680129263197284,0.0066801768286609275,0.007906099999828695
300,0,0.006113522130416363,0.006183288639812178,0.00684284730266605,0.007815841829548205
310,0,0.006336588668109485,0.006344260412353928,0.006348164345760742,0.007528434516735162
320,0,0.006522132803768722,0.006486839186408426,0.006486838981003003,0.009021596143842877
330,0,0.005589141308863462,0.005659571461885929,0.005916338592433123,0.007657032042794341
340,0,0.005377139875289713,0.00544678486010895,0.00583794172880084,0.00747312474617119
350,0,0.005437991373504891,0.0054805748787742905,0.0054925346661500625,0.006805657454433148
360,0,0.005294668137794657,0.0053537776374823695,0.005353859662256859,0.006819875362630512
370,0,0.005157030983997652,0.005183275322520318,0.0051832742779306384,0.006182340792082647
380,0,0.0050007617905777355,0.00502648060156797,0.005164743472816304,0.006130294446836257
390,0,0.0048763227777212865,0.0048729711635364095,0.004874971756177164,0.0056741135253432304
400,0,0.0046017101708072375,0.004642976601833726,0.004643404260320798,0.0060253323261656245
410,0,0.004631505837298153,0.004667766349739807,0.004668059088218695,0.005529271599929052
420,0,0.00450791578792319,0.00453478531149612,0.0045347837150061104,0.005265288013550662
430,0,0.0044324723156973205,0.004475235220742796,0.004475271026642089,0.005293394533897205
440,0,0.004540024910631133,0.004553645536467422,0.004553646951717711,0.005871146812241167
450,0,0.004274695308061682,0.004289333270649948,0.0042893325351755504,0.005223590145386823
460,0,0.004305174488070528,0.004304111191074605,0.004304112412006161,0.005667229951348049
470,0,0.004013142497216004,0.004028818612317852,0.004032228350131386,0.0048283060344547
480,0,0.00401453608297362,0.004021855115789514,0.0040253038785138945,0.005281497144762174
490,0,0.003829274817809937,0.0038430877982779227,0.0038431971721615476,0.004538824150893776
500,0,0.0038550222633311846,0.0038699296831380472,0.003869928585403219,0.004790009021230293
510,0,0.0036191265959857446,0.0036291664244534963,0.0036293339741903827,0.004448905054625276
520,0,0.0035883718184477574,0.0036033777651354876,0.0036033776877400212,0.0044389223810223245
530,0,0.0034119379995137195,0.0034285039483297444,0.00342886718170377,0.0043593667426219465
540,0,0.0035331368667999795,0.0035527951420720326,0.0035527955475240388,0.004389417219878204
550,0,0.0032840054578567525,0.0033028809380033814,0.003302880636505914,0.004309800368377712
560,0,0.003291900737569983,0.003305866669971637,0.0033058671854369406,0.004078194694970385
570,0,0.003360309253237459,0.0033779142111830915,0.003377913743621717,0.004149559241776118
580,0,0.003324411962381039,0.0033361630601585128,0.003342361797034818,0.004178051406055086
590,0,0.003230591836499809,0.0032361497071825766,0.0032388254479041607,0.003825199206733356
600,0,0.0031308303491056817,0.0031383879792327898,0.003138387421800133,0.003749237973625149
610,0,0.003235270998533232,0.0032327203284368638,0.0032327204608893012,0.00431466253648641
620,0,0.003059021675927581,0.0030733022501788208,0.0030733027956021024,0.003654762664559668
630,0,0.0030885067719155783,0.0030951163438001903,0.003095116570273167,0.0036552884775151568
640,0,0.0030425210091376835,0.003043150717888396,0.0030431507116127944,0.004150306280175191
650,0,0.0027850982127032376,0.002801462069233486,0.0028014618905836818,0.0038197836025058835
660,0,0.002906558322515897,0.002917363497508734,0.002917364378211257,0.0035028022881381455
670,0,0.0028894966711246724,0.0028945708864738995,0.0028945704445334265,0.0034507806774658817
680,0,0.0029271907186871494,0.0029229672161115296,0.002923032377281158,0.0036604444943073608
690,0,0.0026976685270354416,0.0027218747679603945,0.002721874763785879,0.003484316717565615
700,0,0.0026792712263521788,0.0026938928795328843,0.002693892962439612,0.0033519723694403355
